machine_id,query_id,cost,time_ms,shared_hit,shared_read,rows
r5n,q7,70658.3,3721.408,1182658,499623,4
r5n,q7,70658.3,3670.734,1182658,499623,4
r5n,q7,70658.3,3682.426,1182658,499623,4
r5n,q7,70658.3,3618.682,1182658,499623,4
r5n,q7,70658.3,3603.113,1182658,499623,4
r5n,q7,70658.3,3670.572,1182658,499623,4
r5n,q7,70658.3,3591.595,1182658,499623,4
r5n,q8,90831.9,896.466,165600,92240,2
r5n,q8,90831.9,820.698,165600,92240,2
r5n,q8,90831.9,821.805,165600,92240,2
r5n,q8,90831.9,819.613,165600,92240,2
r5n,q8,90831.9,824.036,165600,92240,2
r5n,q8,90831.9,821.476,165600,92240,2
r5n,q8,90831.9,822.803,165600,92240,2
r5n,q8,90831.9,821.145,165600,92240,2
r5n,q8,90831.9,823.964,165600,92240,2
r5n,q8,90831.9,819.006,165600,92240,2
r5n,q8,90831.9,822.269,165600,92240,2
r5n,q8,90831.9,819.126,165600,92240,2
r5n,q8,90831.9,816.062,165600,92240,2
r5n,q8,90831.9,821.612,165600,92240,2
r5n,q8,90831.9,824.36,165600,92240,2
r5n,q8,90831.9,830.292,165600,92240,2
r5n,q8,90831.9,827.913,165600,92240,2
r5n,q8,90831.9,824.755,165600,92240,2
r5n,q8,90831.9,821.993,165600,92240,2
r5n,q8,90831.9,821.017,165600,92240,2
r5n,q9,85841.45,3082.237,2967273,707713,175
r5n,q9,85841.45,3023.096,2967273,707713,175
r5n,q9,85841.45,3028.195,2967273,707713,175
r5n,q9,85841.45,3035.852,2967273,707713,175
r5n,q9,85841.45,3025.228,2967273,707713,175
r5n,q9,85841.45,3028.15,2967273,707713,175
r5n,q9,85841.45,3029.943,2967273,707713,175
r5n,q9,85841.45,3018.264,2967273,707713,175
r5n,q9,85841.45,3006.761,2967273,707713,175
r5n,q9,85841.45,2992.442,2967273,707713,175
r5n,q9,85841.45,3010.801,2967273,707713,175
r5n,q9,85841.45,3002.546,2967273,707713,175
r5n,q9,85841.45,3001.531,2967273,707713,175
r5n,q9,85841.45,3016.241,2967273,707713,175
r5n,q9,85841.45,3023.894,2967273,707713,175
r5n,q9,85841.45,3019.654,2967273,707713,175
r5n,q9,85841.45,3020.216,2967273,707713,175
r5n,q9,85841.45,2978.839,2967273,707713,175
r5n,q9,85841.45,2939.375,2967273,707713,175
r5n,q9,85841.45,2953.451,2967273,707713,175
z1d,q10,160189.8,906.642,176780,85991,20
z1d,q10,160189.8,904.133,176780,85991,20
z1d,q10,160189.8,903.054,176780,85991,20
z1d,q10,160189.8,897.728,176780,85991,20
z1d,q10,160189.8,907.964,176780,85991,20
z1d,q10,160189.8,897.251,176780,85991,20
z1d,q10,160189.8,899.882,176780,85991,20
z1d,q10,160189.8,905.691,176780,85991,20
z1d,q10,160189.8,899.631,176780,85991,20
z1d,q10,160189.8,899.09,176780,85991,20
z1d,q10,160189.8,901.451,176780,85991,20
z1d,q10,160189.8,900.78,176780,85991,20
z1d,q10,160189.8,907.911,176780,85991,20
z1d,q10,160189.8,896.988,176780,85991,20
z1d,q10,160189.8,904.947,176780,85991,20
z1d,q10,160189.8,904.624,176780,85991,20
z1d,q10,160189.8,900.408,176780,85991,20
z1d,q10,160189.8,897.262,176780,85991,20
z1d,q10,160189.8,894.273,176780,85991,20
z1d,q10,160189.8,897.733,176780,85991,20
z1d,q11,10203.71,152.782,42749,20040,1217
z1d,q11,10203.71,73.461,42749,20040,1217
z1d,q11,10203.71,73.437,42749,20040,1217
z1d,q11,10203.71,72.347,42749,20040,1217
z1d,q11,10203.71,72.244,42749,20040,1217
z1d,q11,10203.71,72.444,42749,20040,1217
z1d,q11,10203.71,72.321,42749,20040,1217
z1d,q11,10203.71,72.156,42749,20040,1217
z1d,q11,10203.71,72.179,42749,20040,1217
z1d,q11,10203.71,72.563,42749,20040,1217
z1d,q11,10203.71,72.711,42749,20040,1217
z1d,q11,10203.71,71.94,42749,20040,1217
z1d,q11,10203.71,72.126,42749,20040,1217
z1d,q11,10203.71,73.353,42749,20040,1217
z1d,q11,10203.71,72.308,42749,20040,1217
z1d,q11,10203.71,72.723,42749,20040,1217
z1d,q11,10203.71,72.316,42749,20040,1217
z1d,q11,10203.71,73.38,42749,20040,1217
z1d,q11,10203.71,72.629,42749,20040,1217
z1d,q11,10203.71,73.241,42749,20040,1217
z1d,q12,210511.91,1241.243,154,137041,2
z1d,q12,210511.91,1242.15,154,137041,2
z1d,q12,210511.91,1245.094,154,137041,2
z1d,q12,210511.91,1244.149,154,137041,2
z1d,q12,210511.91,1246.795,154,137041,2
z1d,q12,210511.91,1246.147,154,137041,2
z1d,q12,210511.91,1247.021,154,137041,2
z1d,q12,210511.91,1247.405,154,137041,2
z1d,q12,210511.91,1242.518,154,137041,2
z1d,q12,210511.91,1242.252,154,137041,2
z1d,q12,210511.91,1243.078,154,137041,2
z1d,q12,210511.91,1242.054,154,137041,2
z1d,q12,210511.91,1239.872,154,137041,2
z1d,q12,210511.91,1239.502,154,137041,2
z1d,q12,210511.91,1241.754,154,137041,2
z1d,q12,210511.91,1241.472,154,137041,2
z1d,q12,210511.91,1240.492,154,137041,2
z1d,q12,210511.91,1240.573,154,137041,2
z1d,q12,210511.91,1241.53,154,137041,2
z1d,q12,210511.91,1242.04,154,137041,2
z1d,q13,142161.33,1174.185,1344617,605352,42
z1d,q13,142161.33,1158.093,1344617,605352,42
z1d,q13,142161.33,1161.097,1344617,605352,42
z1d,q13,142161.33,1169.398,1344617,605352,42
z1d,q13,142161.33,1162.031,1344617,605352,42
z1d,q13,142161.33,1165.415,1344617,605352,42
z1d,q13,142161.33,1164.013,1344617,605352,42
z1d,q13,142161.33,1166.307,1344617,605352,42
z1d,q13,142161.33,1163.004,1344617,605352,42
z1d,q13,142161.33,1161.724,1344617,605352,42
z1d,q13,142161.33,1167.458,1344617,605352,42
z1d,q13,142161.33,1158.403,1344617,605352,42
z1d,q13,142161.33,1167.783,1344617,605352,42
z1d,q13,142161.33,1165.218,1344617,605352,42
z1d,q13,142161.33,1165.323,1344617,605352,42
z1d,q13,142161.33,1168.504,1344617,605352,42
z1d,q13,142161.33,1163.544,1344617,605352,42
z1d,q13,142161.33,1168.169,1344617,605352,42
z1d,q13,142161.33,1169.028,1344617,605352,42
z1d,q13,142161.33,1170.446,1344617,605352,42
z1d,q14,118586.59,363.16,163,114188,1
z1d,q14,118586.59,363.108,163,114188,1
z1d,q14,118586.59,363.721,163,114188,1
z1d,q14,118586.59,362.63,163,114188,1
z1d,q14,118586.59,363.043,163,114188,1
z1d,q14,118586.59,363.18,163,114188,1
z1d,q14,118586.59,363.027,163,114188,1
z1d,q14,118586.59,364.197,163,114188,1
z1d,q14,118586.59,362.338,163,114188,1
z1d,q14,118586.59,362.387,163,114188,1
z1d,q14,118586.59,364.171,163,114188,1
z1d,q14,118586.59,363.41,163,114188,1
z1d,q14,118586.59,361.75,163,114188,1
z1d,q14,118586.59,364.052,163,114188,1
z1d,q14,118586.59,363.644,163,114188,1
z1d,q14,118586.59,363.715,163,114188,1
z1d,q14,118586.59,363.447,163,114188,1
z1d,q14,118586.59,361.973,163,114188,1
z1d,q14,118586.59,364.117,163,114188,1
z1d,q14,118586.59,363.972,163,114188,1
z1d,q16,40977.39,442.82,4331,3282,18141
z1d,q16,40977.39,439.641,4331,3282,18141
z1d,q16,40977.39,441.126,4331,3282,18141
z1d,q16,40977.39,441.543,4331,3282,18141
z1d,q16,40977.39,439.476,4331,3282,18141
z1d,q16,40977.39,442.425,4331,3282,18141
z1d,q16,40977.39,441.188,4331,3282,18141
z1d,q16,40977.39,439.497,4331,3282,18141
z1d,q16,40977.39,437.847,4331,3282,18141
z1d,q16,40977.39,438.968,4331,3282,18141
z1d,q16,40977.39,437.869,4331,3282,18141
z1d,q16,40977.39,439.559,4331,3282,18141
z1d,q16,40977.39,442.54,4331,3282,18141
z1d,q16,40977.39,436.799,4331,3282,18141
z1d,q16,40977.39,441.739,4331,3282,18141
z1d,q16,40977.39,434.741,4331,3282,18141
z1d,q16,40977.39,440.59,4331,3282,18141
z1d,q16,40977.39,442.943,4331,3282,18141
z1d,q16,40977.39,440.563,4331,3282,18141
z1d,q16,40977.39,434.887,4331,3282,18141
z1d,q17,731369.7,391.9,226722,110705,1
z1d,q17,731369.7,293.017,226722,110705,1
z1d,q17,731369.7,293.05,226722,110705,1
z1d,q17,731369.7,292.886,226722,110705,1
z1d,q17,731369.7,293.712,226722,110705,1
z1d,q17,731369.7,293.229,226722,110705,1
z1d,q17,731369.7,293.078,226722,110705,1
z1d,q17,731369.7,293.467,226722,110705,1
z1d,q17,731369.7,293.193,226722,110705,1
z1d,q17,731369.7,292.989,226722,110705,1
z1d,q17,731369.7,292.593,226722,110705,1
z1d,q17,731369.7,293.245,226722,110705,1
z1d,q17,731369.7,293.503,226722,110705,1
z1d,q17,731369.7,292.838,226722,110705,1
z1d,q17,731369.7,292.992,226722,110705,1
z1d,q17,731369.7,292.764,226722,110705,1
z1d,q17,731369.7,292.566,226722,110705,1
z1d,q17,731369.7,292.43,226722,110705,1
z1d,q17,731369.7,292.733,226722,110705,1
z1d,q17,731369.7,292.616,226722,110705,1
z1d,q18,322525.59,6289.715,302455,149372,9
z1d,q18,322525.59,6459.013,302455,149372,9
z1d,q18,322525.59,6291.006,302455,149372,9
z1d,q18,322525.59,6286.002,302455,149372,9
z1d,q18,322525.59,6429.296,302455,149372,9
z1d,q18,322525.59,6308.795,302455,149372,9
z1d,q18,322525.59,6293.64,302455,149372,9
z1d,q18,322525.59,6273.56,302455,149372,9
z1d,q18,322525.59,6305.164,302455,149372,9
z1d,q18,322525.59,6283.263,302455,149372,9
z1d,q18,322525.59,6433.284,302455,149372,9
z1d,q18,322525.59,6301.45,302455,149372,9
z1d,q18,322525.59,6289.814,302455,149372,9
z1d,q18,322525.59,6444.04,302455,149372,9
z1d,q18,322525.59,6421.103,302455,149372,9
z1d,q18,322525.59,6274.829,302455,149372,9
z1d,q18,322525.59,6330.982,302455,149372,9
z1d,q18,322525.59,6280.553,302455,149372,9
z1d,q18,322525.59,6301.777,302455,149372,9
z1d,q18,322525.59,6282.275,302455,149372,9
z1d,q19,32575.98,99.658,2842,17419,1
z1d,q19,32575.98,83.54,2842,17419,1
z1d,q19,32575.98,60.921,2842,17419,1
z1d,q19,32575.98,59.967,2842,17419,1
z1d,q19,32575.98,59.409,2842,17419,1
z1d,q19,32575.98,59.849,2842,17419,1
z1d,q19,32575.98,59.726,2842,17419,1
z1d,q19,32575.98,59.596,2842,17419,1
z1d,q19,32575.98,59.847,2842,17419,1
z1d,q19,32575.98,59.323,2842,17419,1
z1d,q19,32575.98,59.369,2842,17419,1
z1d,q19,32575.98,59.944,2842,17419,1
z1d,q19,32575.98,59.374,2842,17419,1
z1d,q19,32575.98,59.476,2842,17419,1
z1d,q19,32575.98,59.331,2842,17419,1
z1d,q19,32575.98,58.925,2842,17419,1
z1d,q19,32575.98,58.785,2842,17419,1
z1d,q19,32575.98,58.275,2842,17419,1
z1d,q19,32575.98,59.328,2842,17419,1
z1d,q19,32575.98,58.159,2842,17419,1
z1d,q1,231253.32,42094.595,14799,95585,4
z1d,q1,231253.32,5719.668,14799,95585,4
z1d,q1,231253.32,5719.059,14799,95585,4
z1d,q1,231253.32,5714.4,14799,95585,4
z1d,q1,231253.32,5717.129,14799,95585,4
z1d,q1,231253.32,5715.123,14799,95585,4
z1d,q1,231253.32,5720.318,14799,95585,4
z1d,q1,231253.32,5716.539,14799,95585,4
z1d,q1,231253.32,5713.747,14799,95585,4
z1d,q1,231253.32,5724.278,14799,95585,4
z1d,q1,231253.32,5715.148,14799,95585,4
