machine,n,learned_mape,analytical_mape,naive_linear_mape
c5a,168,54.85464907024933,33.860140621736,19.657263336178694
c7i,168,36.37360538776866,29.61270623855542,27.676891373127177
m5a,168,29.054139272463512,31.806776456158303,20.567392814019573
r5n,168,25.811185876342655,30.95427383114742,25.97727954506165
z1d,168,17.846446570727835,29.344302903272617,21.24828990372841
