query_fraction,n_queries_sampled,n_folds,learned_mean,learned_min,learned_max,naive_mean,naive_min,naive_max
0.25,5,5,34.305012283546645,22.212275218649435,58.74331297741511,23.0254233944231,19.657263336178694,27.676891373127177
0.5,10,5,31.54379163038227,20.14778430276145,56.567966686233916,23.0254233944231,19.657263336178694,27.676891373127177
0.75,16,5,32.11042793801279,18.02684745571885,54.30530827510507,23.0254233944231,19.657263336178694,27.676891373127177
1.0,21,5,32.7880052355104,17.846446570727835,54.85464907024933,23.0254233944231,19.657263336178694,27.676891373127177
