k,n_train_rows,n_test_rows,n_combos,learned_mean,learned_min,learned_max,naive_mean,naive_min,naive_max
1,84,336,5,40.12871636454576,26.95825565115734,83.33053671301437,23.025423394423104,21.582197655765217,23.653134175539638
2,168,252,10,30.535327538450776,24.418820971193718,41.09993138078129,23.025423394423107,21.20026950814829,24.543428109868852
3,252,168,10,29.42882694421051,20.512514209723363,38.05991636190771,23.025423394423104,20.74841632125448,25.76315422383533
4,336,84,5,27.98547655463368,15.634085273691129,38.2057627767651,23.025423394423107,20.51458026995697,28.798326349054637
