subset,n,compute_ratio_corr,bandwidth_ratio_corr
pooled,420,0.16837207963081183,-0.6384661227794792
compute queries,60,0.3058080254926935,-0.6988766945132703
bandwidth queries,80,0.2778420490195382,
io queries,80,-0.15915020363928112,
mixed queries,200,0.1981462104367036,
