approach,mape,ci_low,ci_high
naive (=1.0),31.972008546032356,25.427281739112907,39.88725720358073
naive-linear (1/bandwidth_ratio),23.025423394423104,20.29367396319858,26.05124871363432
analytical roofline,31.13522760048225,29.789006255872966,32.62738703758861
bottleneck-gated (compute/bandwidth),28.05883911992862,26.94892845281667,29.17591608810279
learned quantile (p50),31.261196520406955,21.06529455373617,43.31609515779739
