k,n_train_rows,n_test_rows,n_combos,learned_mean,learned_min,learned_max,naive_mean,naive_min,naive_max
1,84,336,5,40.18622025663178,26.776125913033365,84.51405919873604,23.025423394423104,21.582197655765217,23.653134175539638
2,168,252,10,30.506461767110455,25.287957921661828,40.556442618429614,23.025423394423107,21.20026950814829,24.543428109868852
3,252,168,10,29.85731022615071,20.228178492259488,41.21122594741049,23.025423394423104,20.74841632125448,25.76315422383533
4,336,84,5,28.1034468282052,17.070114905411312,39.05954204621098,23.025423394423107,20.51458026995697,28.798326349054637
