query_num,mape_old_single_core,mape_new_multi_core,benefit,uses_parallel,workers_launched
1,66.81627786925736,19.370333214289975,47.44594465496739,True,2
12,58.75672899968608,18.5560996229498,40.20062937673628,True,2
16,47.181353141766024,14.617265476126562,32.56408766563946,True,2
5,46.78617431270695,21.888821299689646,24.8973530130173,True,2
8,43.832683554281985,20.176025125010845,23.65665842927114,True,2
9,36.40953884759987,14.267498400119328,22.14204044748054,True,2
3,37.9769920943259,16.014042287931954,21.962949806393947,True,2
10,31.285735953906027,12.373532772619424,18.912203181286603,True,2
18,34.958979420043256,16.588448182004278,18.37053123803898,True,2
21,18.992611104503144,13.133670666827834,5.85894043767531,True,2
6,21.671836697961307,21.62152271704695,0.050313980914356904,True,2
4,19.211430221554807,19.16673166254048,0.04469855901432496,True,2
20,27.962664600236803,27.962664600236803,0.0,False,0
22,20.61060847964426,20.61060847964426,0.0,True,2
14,16.290876991748377,16.290876991748377,0.0,True,2
13,12.469020047542124,12.490345464792076,-0.02132541724995285,True,2
19,19.962983122062756,19.9954700250242,-0.03248690296144474,True,2
17,47.18541368107435,47.35592901318246,-0.17051533210810987,True,2
7,14.47098199247641,22.91213784223485,-8.441155849758438,True,2
11,12.824014745037143,34.85928605782523,-22.035271312788087,False,0
2,18.182873732712324,43.32775187502789,-25.14487814231557,True,2
