hw_confidence,n,mape,cum_n,cum_coverage_pct
1.0,420,27.034220969658755,420,50.0
0.8082587527881575,168,33.429829922227746,588,70.0
0.8009694777454287,84,22.9729304898374,672,80.0
0.5818386557858612,84,32.217813980583095,756,90.0
0.41888149195354507,84,70.65854319193421,840,100.0
