machine,n,learned_mape,analytical_mape,naive_linear_mape
c5a,168,55.539141330518035,33.892461749435185,19.657263336178694
c7i,168,34.17305759957231,29.633457054339768,27.676891373127177
m5a,168,27.020356898556948,31.826092885297754,20.567392814019577
r5n,168,23.783432575526952,30.970135455991795,25.977279545061656
z1d,168,15.789994197860524,29.353990857346748,21.248289903728413
